pos,seq,section,subsection,pages,notes,year,month,date,head,subhead,capsule,plotlines,themes
189.0,168.0,28.0,22.0,960-964,383.0,2009.0,11.0,14-15 November Y.D.A.U.,Time passes and nothing moves forward,Assistant DA “names his disease” to Pat M.,The ADA talks with Pat M. about the Ninth Step. He needs Gately to forgive him.,"AA&R, Ennet, Gately","Recur, Fear/Obsess, Cycles, Waste, Non-Action"
190.0,187.0,28.0,23.0,964-971,384.0,2009.0,11.0,20 November Y.D.A.U.,"Postures and little routines, begging for one touch of a human hand",ETA; Quebec team gala; Barry Loach as panhandler,“Immediately Pre-Fundraiser Exhibition Fête” as narrated by an unnamed ETA student. Hal acting strangely. Backstory of ETA Head Trainer Barry Loach.,E.T.A.,"Recur, Cycles, His/Father"
191.0,194.0,28.0,24.0,971-972,,2009.0,11.0,20 November Y.D.A.U.,Pretty clearly not one of his bad dreams,Orin under glass,Orin is trapped in a huge inverted glass for interrogation by Luria P—— and Fortier.,"A.F.R., Orin","Recur, Fear/Obsess"
192.0,195.0,28.0,25.0,972-981,385-388,2009.0,11.0,20 November Y.D.A.U.,Like a long-submerged man coming up for air,Gately fever; Dilaudid debauch w/ Fackleman,Hospital staff responds to Gately’s crisis. Mt. Dilaudid flashback continues with Bobby C arriving to punish Gene Fackelman after the drug binge.,"AA&R, Gately","Recur, Cycles, Inf/Reg, Waste, Isolation, Memory, Dreams"
193.0,3.0,100.0,76.0,998-999,,1992.0,,4-5 November Y.D.A.U,Footnote 76,Hal’s position on the Damaged-to-GIfted spectrum,,"E.T.A., AA&R, Hal","Recur, Fear/Obsess, Inf/Reg"
194.0,122.0,100.0,90.0,1000-1003,,2009.0,11.0,6 November Y.D.A.U.,Footnote 90,Snippets overheard by Gately during Informal Interface Hours,Selected snippets of Gately’s interactions with Ennet House residents.,"Ennet, Gately","Recur, Fear/Obsess, Isolation, Time, Loss"
195.0,13.0,100.0,110.0,1004-1022,,2009.0,11.0,7 November Y.D.A.U.,Footnote 110,Hal & Orin discuss Quebec (Still separatist? Or Anti-ONAN?) plus a sampling of Avril’s correspondance with Orin,"“here later in the same day, 11/7” Near 1600h EST (Page 1009: “What is it out there, 1600h?”), 1400h in Arizona. Orin and Hal talk on the phone about Steeply, ONAN politics, the samizdat. (Read around the letters from and to the Moms. Orin is still considering Helen Steeply the “Subject,” not Luria. Steeply has yet to be dropped off at the airport.)
Avril writes to Orin in Arizona, but receives a form letter in reply. (These letters are wedged in the middle of Footnote 110. Read only the letters.)","E.T.A., Hal, A.F.R., Mario, Orin, Avril, O.N.A.N.","Recur, Cycles, Secrets, Waste, His/Father, Choice"
196.0,73.0,100.0,145.0,1026-1028,,2009.0,11.0,early Y.W.,Footnote 145,Found Drama,"Transcript of Steeply’s soft profile on Orin. (This is dated Nov. 3, the same day Orin calls Hal to ask about Canadian Separatism (see section 135-137). Orin calls because the interview has put him on his toes, so it’s logical to have the chronological reader read the interview before coming to the phone call, which presumably takes place in the evening after the long day at ETA.)","Jim, Orin, Art/Ent",Recur
197.0,74.0,100.0,234.0,1038-1044,,2009.0,11.0,10 November Y.D.A.U.,Footnote 234,Found Drama (cont’d),More of Steeply’s soft profile on Orin.,"Hal, A.F.R., O.U.S., Jim, Mario, Orin, Avril","Recur, Fear/Obsess, Cycles, Secrets, Inf/Reg, His/Father, Memory"
198.0,139.0,100.0,304.0,1055-1062,,2009.0,11.0,"14 November Y.D.A.U., before 2300h.",Footnote 304,Le Jeu du Prochain Train,Struck’s report on Canadian insurgency. Wayne’s link to the AFR revealed.,"E.T.A., Ennet, A.F.R.","Recur, Fear/Obsess, Secrets, Inf/Reg, Waste, Memory, Non-Action, Boundaries, Phys/Ob"
199.0,146.0,100.0,321.0,1063-1066,,2009.0,11.0,"12 November Y.D.A.U., pre-dawn",Footnote 321,,"Hal and Pemulis talk drugs, addiction.","E.T.A., AA&R, Hal, Mario","Recur, Fear/Obsess, Secrets, Isolation, Choice, Dreams"
200.0,173.0,100.0,324.0,1066-1072,,2009.0,11.0,"17 November Y.D.A.U., 1420h.",Footnote 324,"Pemulis reassures Possathwaite w/o throttling Freer, somehow",Pemulis tells a distraught Todd Possalthwaite that he can trust math. John Wayne “is insanely holding forth innermost thoughts for public ears.”,E.T.A.,"Recur, Inf/Reg, His/Father"
201.0,175.0,100.0,332.0,1073-1076,,2009.0,11.0,17 November Y.D.A.U.,Footnote 332,Wayne goes nuts on the air; Pemulis confronted,Pemulis booted from ETA after the Wayne incident.,E.T.A.,"Recur, Fear/Obsess, Waste, His/Father"
